conflict_type,severity,device_id,fault_label,involved_nodes,description,time_diff_s,conflicting_labels,label_count,min_risk_level,max_risk_level,level_diff,conflicting_actions,action_count
duplicate_alert,low,device_001,Heat Dissipation Failure,"['edge_node_0', 'edge_node_1']",设备 device_001 在 0s 内重复上报 Heat Dissipation Failure,0.0,,,,,,,
duplicate_alert,low,device_004,Normal,"['edge_node_1', 'edge_node_2']",设备 device_004 在 0s 内重复上报 Normal,0.0,,,,,,,
label_conflict,high,device_002,Power Failure,"['edge_node_2', 'edge_node_3']","设备 device_002 预测类别不一致: Normal, Power Failure (涉及 2 个节点)",,"['Normal', 'Power Failure']",2.0,,,,,
label_conflict,medium,device_003,Power Failure,"['edge_node_4', 'edge_node_0']","设备 device_003 预测类别不一致: Overstrain Failure, Power Failure (涉及 2 个节点)",,"['Overstrain Failure', 'Power Failure']",2.0,,,,,
risk_level_mismatch,medium,device_001,Heat Dissipation Failure,"['edge_node_0', 'edge_node_1']","设备 device_001 风险等级不一致: medium(edge_node_1) vs high(edge_node_0), 相差 1 级",,,,medium,high,1.0,,
risk_level_mismatch,high,device_002,Power Failure,"['edge_node_2', 'edge_node_3']","设备 device_002 风险等级不一致: low(edge_node_2) vs high(edge_node_3), 相差 2 级",,,,low,high,2.0,,
risk_level_mismatch,medium,device_003,Power Failure,"['edge_node_4', 'edge_node_0']","设备 device_003 风险等级不一致: high(edge_node_0) vs critical(edge_node_4), 相差 1 级",,,,high,critical,1.0,,
action_conflict,high,device_001,Heat Dissipation Failure,"['edge_node_0', 'edge_node_1']","设备 device_001 动作建议冲突: shutdown, maintain (涉及 2 个节点)",,,,,,,"['shutdown', 'maintain']",2.0
action_conflict,high,device_002,Normal,"['edge_node_2', 'edge_node_3']","设备 device_002 动作建议冲突: shutdown, monitor (涉及 2 个节点)",,,,,,,"['shutdown', 'monitor']",2.0
action_conflict,high,device_003,Power Failure,"['edge_node_4', 'edge_node_0']","设备 device_003 动作建议冲突: shutdown, replace (涉及 2 个节点)",,,,,,,"['shutdown', 'replace']",2.0
